TweetTime,Tweet,Location,FollowersCount,FriendsCount,ListedCount,FavouritesCount,StatusesCount,UserCreatedAt,Lang
Wed Sep 17 22:59:50 +0000 2014,"b'#ScotlandDecides #ScottishReferendum Acc to #Salmond bullying &amp; intimidation plus banning of doubts means spirited, good-natured debating.'","Dorset, UK",1762,2151,76,5,9906,Tue Apr 26 22:29:32 +0000 2011,en
Wed Sep 17 22:58:39 +0000 2014,"b""RT @pjpaton: This Scottish Referendum has divided Scots like never before. It's a Terrible,Terrible Thing #Salmond and #Sturgeon have done \\u2026""",up a hill,18332,8143,184,21357,127482,Thu Apr 28 19:38:29 +0000 2011,en
Wed Sep 17 22:58:24 +0000 2014,"b'#ScotlandDecides #ScottishReferendum Acc to #Salmond not giving straight answers to apt Qs means being heckled by ""English"" BBC.'","Dorset, UK",1762,2151,76,5,9906,Tue Apr 26 22:29:32 +0000 2011,en
Wed Sep 17 22:57:24 +0000 2014,"b""RT @Jahbalon: Conman #Salmond's idea of Independence is Scotland stuck in the EU with a Duff Currency, No Nuclear Deterrent.#VoteNo http://\\u2026""","Abbey Rd, London NW6 4DN",2212,4352,34,61368,108006,Thu Dec 02 16:54:06 +0000 2010,en
Wed Sep 17 22:57:09 +0000 2014,"b""RT @bernerlap: .@CepeSmith @Arden_Forester this is a Dairy Shorthorn, they're beautiful sweet natured&amp;more intelligent than #salmond http:/\\u2026""",,2077,2337,81,51792,156862,Thu Jul 05 12:26:33 +0000 2012,en
Wed Sep 17 22:56:57 +0000 2014,"b'#ScotlandDecides Acc to #Salmond the smaller unit of England, Wales &amp; NI and also the unit of Scotland would have greater world influence.'","Dorset, UK",1762,2151,76,5,9906,Tue Apr 26 22:29:32 +0000 2011,en
Wed Sep 17 22:56:49 +0000 2014,"b""#SCOTLAND, PLEASE REMEMBER #INDYREF IS FOR LIFE NOT JUST FOR #SALMOND, DON'T BE FOOLED INTO BEING #EU RULED, #UKIP IS THE KEY TO TRUE  #INDY""",OUT OF THE EU ?????????????,7560,4553,132,19431,230138,Wed Oct 02 22:59:23 +0000 2013,en
Wed Sep 17 22:55:03 +0000 2014,b'#ScotlandDecides #ScottishReferendum Acc to #Salmond an indep #Scotland would be industry &amp; oil heavy but still the greenest land on Earth.',"Dorset, UK",1762,2151,76,5,9906,Tue Apr 26 22:29:32 +0000 2011,en
Wed Sep 17 22:54:55 +0000 2014,"b""@will70204 @InstantKarmaNow   I don't really think #Salmond and #Sturgeon care about the damage they have to Scotland.""",,6357,6239,188,79069,212526,Thu Jun 02 14:10:07 +0000 2011,en
Wed Sep 17 22:54:37 +0000 2014,"b'@Mulder1981 @philip129 Salmond the mug, vote for a Scottish inDOPEndence or NOPE at http://t.co/qPRPAsgvoi #Salmond'",,6,49,0,264,1237,Mon Sep 15 05:39:28 +0000 2014,en
Wed Sep 17 22:54:37 +0000 2014,"b'@Mulder1981 @philip129 Salmond the mug, vote for a Scottish inDOPEndence or NOPE at http://t.co/qPRPAsgvoi #Salmond'",,6,49,0,264,1237,Mon Sep 15 05:39:28 +0000 2014,en
Wed Sep 17 22:54:37 +0000 2014,"b'@OrkneyTogether @AyeOrkney Salmond the mug, vote for a Scottish inDOPEndence or NOPE at http://t.co/qPRPAsgvoi #Salmond'",,6,49,0,264,1237,Mon Sep 15 05:39:28 +0000 2014,en
Wed Sep 17 22:54:37 +0000 2014,b'@Mcshitey #salmond Salmond - the mug an independent vote for indopendence @ www. indopendence.uk',,6,49,0,264,1237,Mon Sep 15 05:39:28 +0000 2014,en
Wed Sep 17 22:54:37 +0000 2014,"b'@lisab7us @UK_Together Salmond the mug, vote for a Scottish inDOPEndence or NOPE at http://t.co/qPRPAsgvoi #Salmond'",,6,49,0,264,1237,Mon Sep 15 05:39:28 +0000 2014,en
Wed Sep 17 22:53:55 +0000 2014,"b""Alex #Salmond 's Last Word for Voters http://t.co/E93CnxcRzS #ScottishReferendum #scottishindependence #AlexSalmond #Scotland""","New York, USA",1483,1399,40,80,2210,Tue Apr 21 23:27:54 +0000 2009,en
Wed Sep 17 22:53:54 +0000 2014,"b"".@CepeSmith @Arden_Forester this is a Dairy Shorthorn, they're beautiful sweet natured&amp;more intelligent than #salmond http://t.co/poNWXQWjyW""",up a hill,18332,8143,184,21357,127482,Thu Apr 28 19:38:29 +0000 2011,en
Wed Sep 17 22:53:33 +0000 2014,b'#ScotlandDecides #ScottishReferendum Acc to #Salmond an independent #Scotland would have a Scottish gov that only makes popular decisions.',"Dorset, UK",1762,2151,76,5,9906,Tue Apr 26 22:29:32 +0000 2011,en
Wed Sep 17 22:51:51 +0000 2014,b'RT @asiageoff: Are you Scottish people seriously voting for this wee fella tomorrow? #salmond http://t.co/7UZUMJViRQ',ライブ予定＆レポ的なもの↓,873,528,33,1144,78000,Wed Dec 15 16:19:11 +0000 2010,ja
Wed Sep 17 22:51:17 +0000 2014,b'#ScotlandDecides #ScottishReferendum Acc to #Salmond an independent #Scotland would be super rich with no poverty at all.',"Dorset, UK",1762,2151,76,5,9906,Tue Apr 26 22:29:32 +0000 2011,en
Wed Sep 17 22:50:20 +0000 2014,b'#ScotlandDecides Acc to the #Salmond gang and independedent #Scotland would be paradise on earth.',"Dorset, UK",1762,2151,76,5,9906,Tue Apr 26 22:29:32 +0000 2011,en
Wed Sep 17 22:48:41 +0000 2014,"b""RT @IanWandE: \\u201c@johnmiller1948: ' @bbcnickrobinson Why wont you admit your big lie and apologise to #Salmond #bbcnewsnight .\\u201d It sounds so \\u2026""",Scotland ,3312,3377,29,39330,47446,Tue Aug 16 20:54:31 +0000 2011,en
Wed Sep 17 22:47:57 +0000 2014,"b""RT @AlexSpamond: Hahaha... Some of you actually think we're serious!!! #indyref #yesfail #salmond #yesflash http://t.co/NjNpZyWsvF""",omnipresent ,203,148,6,61,24890,Wed Nov 10 12:41:05 +0000 2010,en
Wed Sep 17 22:47:37 +0000 2014,"b'The Division, Bitterness &amp; Rancour #Salmond &amp; #Sturgeon have done to the People of Scotland will take decades 2 heal http://t.co/Okxd4ax6oH'",,6357,6239,188,79069,212526,Thu Jun 02 14:10:07 +0000 2011,en
Wed Sep 17 22:42:52 +0000 2014,"b""Alex #Salmond didn't decide my vote, the #SNP didn't decide my vote, propaganda didn't decide my vote.\\u2026 http://t.co/0FHJWSwWOV""",North Ayrshire,651,419,15,2323,14424,Tue Feb 16 20:46:42 +0000 2010,en
Wed Sep 17 22:42:37 +0000 2014,b'@thnkngmnscrmpt The kids were still at school. #indyref #Salmond',The Anglosphere,14,15,1,51,2205,Fri Aug 15 14:51:44 +0000 2014,en-gb
