TweetTime,Tweet,Location,FollowersCount,FriendsCount,ListedCount,FavouritesCount,StatusesCount,UserCreatedAt,Lang
Wed Sep 17 22:59:58 +0000 2014,"b""RT @wikileaks: If #Scotland votes 'yes' tomorrow, it may have a famous new resident: Edward #Snowden | BBC http://t.co/tde208Ksd8 #indyref \\u2026""",,2845,2573,80,1824,5851,Thu Jan 05 14:27:41 +0000 2012,en
Wed Sep 17 22:59:58 +0000 2014,"b'Happy #indyref day #Scotland. Carpe diem, for those of us who cannae. #VoteYes! #voteaye! #SaorAlba!'",merccuh,17,47,1,243,692,Tue Sep 09 00:55:01 +0000 2014,en
Wed Sep 17 22:59:58 +0000 2014,b'Hey #scotland #Indyref Vote Team GB tomorrow. Look Gordon left his initials. http://t.co/XU8DYBDz3M',Warlingham,1117,1055,52,17565,59168,Tue Apr 10 10:49:54 +0000 2012,en
Wed Sep 17 22:59:56 +0000 2014,b'RT @WilliamsJon: Final opinion polls in #indyref suggest #Scotland will reject independence - but only just.  Polls open in &lt; 9 hours. 80% \\u2026',K2stan,259,2316,3,2080,4486,Tue May 21 07:54:41 +0000 2013,en
Wed Sep 17 22:59:51 +0000 2014,b'@AlexSalmond @NicolaSturgeon Is bonny #Scotland full of #bravehearts or retreats who will retort \\u201cAlba gu bra\\u201d - \\u201cScotland forever!\\u201d#indyref',Planet Earth,1171,2246,44,942,22941,Sun Feb 26 00:10:11 +0000 2012,en
Wed Sep 17 22:59:41 +0000 2014,b'Edinburgh is absolutely bouncing. This may actually happen. #Scotland #independence',USA,1988,1094,91,12,1413,Wed Apr 16 12:45:23 +0000 2008,en
Wed Sep 17 22:59:36 +0000 2014,b'Normally West power  supports other referendum for independence but right now they are against #Yes for #Scotland',Somewhere in Africa,957,622,15,3893,11832,Fri Mar 11 10:29:26 +0000 2011,en
Wed Sep 17 22:59:34 +0000 2014,"b""GOOD LUCK #SCOTLAND Whichever way you vote we'll always be brothers and sisters in the fight for dignity, equality and recognition....""",,2215,746,109,4221,23392,Wed Aug 20 11:13:45 +0000 2014,en
Wed Sep 17 22:59:34 +0000 2014,b'#Scotland#GLASGOW so much love in this town https://t.co/NOHGFC9MH6',"greenock, scotland",124,773,0,261,945,Thu Dec 08 20:27:24 +0000 2011,en
Wed Sep 17 22:59:31 +0000 2014,b'RT @SAMAATV: Future of Union Jack in doubt as #Scotland votes http://t.co/sXb2UE5MNL http://t.co/ZXyHqBKcWC',Pakistan,77,44,0,0,5571,Fri Aug 22 07:19:20 +0000 2014,en
